id,Latitude,Longitude
0,219711,144717
1,220165,144173
2,220185,144216
3,220118,141972
4,220312,142306
5,220094,141435
6,219889,144178
7,219852,144234
8,219669,143414
9,220005,142677
10,220306,142277
11,219983,142716
12,219152,141147
13,219100,141116
14,219307,141307
15,219848,144689
16,219811,144677
17,219884,144622
18,220636,143662
19,221146,143060
20,221113,143039
21,220289,144204
22,219579,145021
23,219885,144684
24,218896,144089
25,218632,144363
26,218925,144047
27,221424,142655
28,220849,143537
29,221490,142598
30,219343,145679
31,219022,144630
32,218794,145207
33,220853,143354
34,220656,143618
35,220817,143436
36,220750,143529
37,221123,142981
38,221141,143046
39,218323,144802
40,218926,145288
41,218293,144786
42,220276,142322
43,220297,142310
44,219961,142739
45,219893,144226
46,220064,143784
47,219773,144343
48,220429,142424
49,220691,142591
50,220720,142615
51,218894,144084
52,218990,143975
53,218879,144105
54,220377,142353
55,220716,142655
56,220767,142714
57,219950,141936
58,219889,141703
59,220311,142253
60,219865,144641
61,219236,145388
62,220197,144263
63,220162,143840
64,219854,143586
65,219677,143428
66,219381,141454
67,219008,141029
68,219380,141360
69,220316,143667
70,220149,143560
71,220110,143671
72,220044,142006
73,219993,141475
74,219832,141822
75,218422,144640
76,218485,144573
77,218888,144085
78,218253,144702
79,218400,144700
80,218266,144752
81,218490,144565
82,218342,144667
83,218735,144279
84,219076,145520
85,218967,145402
86,218535,144984
87,218556,143424
88,217877,144299
89,217922,144474
90,220099,143665
91,220273,143553
92,220098,143745
93,220108,142077
94,219922,141929
96,219137,141195
97,219549,141540
98,219803,141782
99,220785,143600
100,221140,143005
101,220649,143783
102,220027,143700
103,220158,144148
104,219858,144309
105,219339,145845
106,218438,144921
107,219165,145558
108,219780,144654
109,219720,144745
110,220175,144198
111,219806,141765
112,220300,142305
113,219899,141879
114,218626,145121
115,218343,144862
116,219249,145666
117,220710,143533
118,220913,143295
119,220671,143537
120,220537,143886
121,220358,143835
122,220349,143901
123,219526,143351
124,220083,143832
125,219767,143522
126,219096,145406
127,219347,145175
128,219864,144544
129,218825,144197
130,218750,144270
131,218455,144608
132,219066,143867
133,218928,144028
134,219103,143815
135,220957,143365
136,221125,143021
137,220987,143303
138,218333,144780
139,218539,144949
140,218900,145292
141,218537,143432
142,218107,143992
143,218246,143818
144,220459,142258
147,219701,144534
148,219615,143331
149,219903,144196
150,220845,143427
151,220864,143422
152,221185,142980
153,219424,141405
154,219588,141581
155,219633,141651
156,221173,142987
157,221519,142572
162,218920,145392
163,218355,144825
164,219082,145489
165,217827,144351
166,218264,143827
167,217858,144401
168,218290,144672
169,218772,144115
170,218512,144490
171,219825,141631
172,219843,141767
173,219912,141483
174,220277,142351
175,219648,143100
176,219904,142818
177,221117,143082
178,221088,143046
179,220865,143486
180,220628,143843
181,221043,143148
182,220707,143637
183,218528,143468
184,217884,144289
185,218295,143734
186,220853,143370
187,220533,143753
188,220734,143471
189,219600,141576
190,219593,141593
191,219653,141658
192,220312,142293
193,220340,142288
194,220879,142782
195,221454,142629
196,220994,143359
197,221002,143313
198,219599,143351
199,219938,143652
200,220208,144052
201,218911,144043
202,219292,143602
203,219007,143910
204,220294,142311
205,220814,142700
206,220408,142347
207,220282,142323
208,220166,142464
209,219833,142901
210,219224,143699
211,219016,143927
212,219081,143858
213,219850,141707
214,220094,141291
215,219792,141774
216,219659,143095
217,219723,143017
218,219808,142950
219,220606,143633
220,220911,143291
221,220764,143472
222,219617,143157
223,219855,142890
224,219670,143090
225,219477,143350
226,219000,143968
227,219375,143493
228,219555,144989
229,219955,144428
230,219699,144763
231,218608,143367
232,218287,143774
233,218952,143079
234,220474,143936
235,220403,143627
236,220309,143666
237,218844,140766
238,218843,140869
239,218727,140632
240,218659,143298
241,218620,143377
242,218194,143960
243,220079,142599
244,220231,142381
245,219852,142840
246,219135,145423
247,219588,144845
248,220106,144268
249,218676,140588
250,218679,140639
251,218852,140870
252,220370,144147
253,219940,144624
254,220334,144154
255,219193,143679
256,219029,143862
257,218923,144026
258,218085,144643
259,218432,143573
260,217981,144253
261,220323,143581
262,220154,143576
263,220495,143806
264,220562,143874
265,220670,143708
266,221371,142773
267,220168,143475
268,220615,142565
269,220786,142691
270,219552,145049
271,219774,144720
272,219348,145318
273,219440,143438
274,218990,143984
275,219184,143668
276,220037,144466
277,219610,144896
278,219372,145314
279,220129,143628
280,220364,143590
281,220472,143883
282,219567,144929
283,220259,144193
284,219745,144649
285,220297,144209
286,219168,145511
287,219772,144796
288,217904,144316
289,218286,144859
290,217919,144341
291,218250,143856
292,217921,144440
293,218018,144602
294,218990,143988
295,218893,144091
296,218557,144464
297,220376,144022
298,219920,144638
299,220345,144067
300,221107,143067
301,220883,142817
302,220561,142483
303,219797,144250
304,219742,143522
305,219703,143478
306,218835,144152
307,218804,144164
308,218382,144660
309,218259,144780
310,218073,144044
311,218138,143969
312,219545,143266
313,219932,144181
314,219779,144272
315,220375,143611
316,220193,143562
317,220456,143599
318,220907,143462
319,220803,143554
320,220951,143349
321,219731,141717
322,220064,142001
323,219881,141699
324,218708,140772
325,218825,140744
326,218847,140735
327,218593,143418
328,218468,143517
329,218283,144826
330,218574,143416
331,217858,144409
332,218814,143189
333,220551,143887
334,220552,143763
335,220566,143902
336,219665,143080
337,220074,142569
338,220160,142493
339,219958,144569
340,219796,144783
341,219696,144846
342,220003,141519
343,220087,142051
344,219858,141858
345,220189,144231
346,219544,144997
347,219578,144912
348,219678,141675
349,219116,141183
350,219566,141570
351,220882,142837
352,220501,142460
353,220373,142333
354,219426,141413
355,219379,141385
356,219210,141227
357,219356,141319
358,219416,141427
359,219718,141703
360,219084,143788
361,218994,143911
362,219052,143869
363,219077,143850
364,219078,143862
365,219271,143633
366,218462,144593
367,218687,144324
368,218589,144450
369,219702,144830
370,219319,145295
371,219623,144883
372,220007,141924
373,220178,142050
374,220057,141392
375,219659,143378
376,219924,144312
377,219856,143538
378,219760,142981
379,219604,143005
380,220061,142566
381,219549,141488
382,218942,140946
383,219655,141617
384,219478,145189
385,219587,145007
386,219671,144898
387,221083,143053
388,220837,143490
389,221103,143069
390,220221,144310
391,219729,144831
392,219645,144894
393,218681,144341
394,218567,144498
395,218855,144130
396,221459,142717
397,221005,143305
398,221486,142683
399,218268,144850
400,218818,145323
401,218970,145522
402,220779,143508
403,220881,143396
404,220667,143662
405,221131,143091
406,221122,143110
407,221157,143153
408,218503,145050
409,218472,145013
410,218513,145056
411,220365,142314
412,220241,142328
413,219851,142857
414,220241,143887
415,220027,143664
416,220405,143995
417,220659,142584
418,220830,142757
419,220509,142449
420,218985,143979
421,218936,144028
422,218938,144018
423,220257,142283
424,220514,142425
425,221113,143057
426,219894,141892
427,219910,141860
428,219929,141800
429,220265,144285
430,219789,144769
431,220159,144367
432,220161,144129
433,219900,144240
434,220049,144214
435,218779,140838
436,219291,141325
437,219051,141082
438,220384,143939
439,220585,143812
440,220000,143600
441,220249,142216
442,220297,142264
443,219976,141947
444,218549,144484
445,218749,144267
446,218542,144505
447,218576,144458
448,218818,144178
449,218464,144586
450,218629,144420
451,218497,144545
452,218462,144594
453,218887,145103
454,218482,144999
455,218500,145026
456,218120,144670
457,218296,143828
458,217938,144491
459,220378,143727
460,220490,143930
461,220130,143691
462,219904,141638
463,219938,141880
464,219952,141527
465,219377,141391
466,218825,140848
467,219011,141040
468,221107,143056
469,221238,142994
470,221381,142836
471,219799,144543
472,219829,144311
473,220059,143817
474,218555,145099
475,219230,145660
476,219319,145684
477,219091,145524
478,219794,144690
479,219927,144569
480,220043,141991
481,220023,141973
482,219852,141695
483,218698,145142
484,218813,145299
485,218946,145472
486,220942,143370
487,220616,143773
488,220530,143781
489,220155,143576
490,220451,143898
491,220456,143753
492,219826,144393
493,220228,144160
494,219895,143646
495,219164,145443
496,219757,144732
497,220111,144294
498,218540,144518
499,218878,144091
500,218849,144145
501,218884,144087
502,218909,144058
503,219317,143574
504,221382,142838
505,221401,142794
506,221128,143092
507,219206,145673
508,218237,144794
509,218831,145310
510,218212,143871
511,217864,144467
512,219601,143706
513,220553,142476
514,221011,142960
515,221122,142916
516,219826,144260
517,219569,143291
518,220215,143885
519,221082,143060
520,221156,143161
521,220941,143410
522,218950,140973
523,219661,141628
